Instance Name,Number of Vehicles,objective,parameter,l1,l2,l3,l4,l5,Coeff Variation
bays29,5,min,-,9117.0,0.0,0.0,0.0,0.0,2.0
bays29,5,min-max,-,2645.0,2645.0,2592.0,2567.0,2438.0,0.029
bays29,5,p-norm,2,2894.0,2793.0,2768.0,1977.0,1410.0,0.245
bays29,5,p-norm,3,2719.0,2598.0,2438.0,2250.0,2142.0,0.088
bays29,5,p-norm,5,2719.0,2598.0,2438.0,2250.0,2142.0,0.088
bays29,5,p-norm,10,2719.0,2598.0,2438.0,2250.0,2142.0,0.088
bays29,5,eps-fair,0.1,5306.0,4162.0,0.0,0.0,0.0,1.24
bays29,5,eps-fair,0.3,5306.0,4162.0,0.0,0.0,0.0,1.24
bays29,5,eps-fair,0.5,3882.0,3353.0,2894.0,0.0,0.0,0.831
bays29,5,eps-fair,0.7,3715.0,3128.0,2844.0,1002.0,0.0,0.656
bays29,5,eps-fair,0.9,3125.0,2844.0,2438.0,2422.0,808.0,0.345
bays29,5,delta-fair,0.1,2894.0,2792.0,2250.0,2142.0,2032.0,0.145
bays29,5,delta-fair,0.3,2911.0,2894.0,2793.0,2440.0,0.0,0.506
bays29,5,delta-fair,0.5,3882.0,3128.0,2844.0,664.0,0.0,0.713
bays29,5,delta-fair,0.7,4810.0,4445.0,808.0,0.0,0.0,1.072
bays29,5,delta-fair,0.9,5306.0,4162.0,0.0,0.0,0.0,1.24
eil51,5,min,-,430.0,0.0,0.0,0.0,0.0,2.0
eil51,5,min-max,-,110.0,110.0,110.0,110.0,110.0,0.0
eil51,5,p-norm,2,119.0,115.0,104.0,94.0,80.0,0.139
eil51,5,p-norm,3,119.0,110.0,104.0,100.0,80.0,0.127
eil51,5,p-norm,5,115.0,108.0,104.0,101.0,94.0,0.067
eil51,5,p-norm,10,110.0,110.0,104.0,101.0,100.0,0.041
eil51,5,eps-fair,0.1,351.0,88.0,0.0,0.0,0.0,1.548
eil51,5,eps-fair,0.3,234.0,206.0,0.0,0.0,0.0,1.229
eil51,5,eps-fair,0.5,209.0,175.0,74.0,0.0,0.0,0.95
eil51,5,eps-fair,0.7,167.0,149.0,105.0,58.0,0.0,0.637
eil51,5,eps-fair,0.9,154.0,119.0,104.0,80.0,51.0,0.343
eil51,5,delta-fair,0.1,119.0,115.0,104.0,94.0,80.0,0.139
eil51,5,delta-fair,0.3,130.0,130.0,125.0,100.0,0.0,0.513
eil51,5,delta-fair,0.5,164.0,153.0,146.0,10.0,0.0,0.776
eil51,5,delta-fair,0.7,238.0,153.0,64.0,0.0,0.0,1.016
eil51,5,delta-fair,0.9,351.0,88.0,0.0,0.0,0.0,1.548
eil76,5,min,-,539.0,0.0,0.0,0.0,0.0,2.0
eil76,5,min-max,-,231.0,231.0,231.0,230.0,223.0,0.014
eil76,5,p-norm,2,145.0,134.0,127.0,127.0,127.0,0.053
eil76,5,p-norm,3,149.0,147.0,128.0,128.0,119.0,0.088
eil76,5,p-norm,5,153.0,145.0,137.0,129.0,117.0,0.092
eil76,5,p-norm,10,146.0,146.0,145.0,137.0,135.0,0.034
eil76,5,eps-fair,0.1,478.0,69.0,0.0,0.0,0.0,1.702
eil76,5,eps-fair,0.3,275.0,274.0,0.0,0.0,0.0,1.225
eil76,5,eps-fair,0.5,272.0,166.0,128.0,0.0,0.0,0.917
eil76,5,eps-fair,0.7,205.0,204.0,100.0,82.0,0.0,0.661
eil76,5,eps-fair,0.9,177.0,174.0,157.0,80.0,75.0,0.343
eil76,5,delta-fair,0.1,147.0,131.0,124.0,124.0,124.0,0.069
eil76,5,delta-fair,0.3,165.0,165.0,144.0,132.0,0.0,0.511
eil76,5,delta-fair,0.5,240.0,177.0,122.0,60.0,0.0,0.705
eil76,5,delta-fair,0.7,315.0,292.0,106.0,0.0,0.0,0.962
eil76,5,delta-fair,0.9,348.0,200.0,0.0,0.0,0.0,1.297
