Instance Name,Number of Vehicles,min (sec),minmax,deltaFair 0.1,deltaFair 0.3,deltaFair 0.5,deltaFair 0.7,deltaFair 0.9
burma14,3,0.52,0.78,0.55,0.59,0.73,0.56,0.45
burma14,4,0.65,1.11,2.23,2.01,1.01,0.57,0.59
burma14,5,0.61,2.16,3.23,3.05,2.72,1.45,0.95
bays29,3,2.76,10.85,7.59,11.6,16.96,5.05,6.38
bays29,4,2.78,44.76,15.78,22.35,11.61,8.83,6.66
bays29,5,4.7,543.86,112.36,43.05,40.92,21.45,9.78
eil51,3,11.21,145.79,77.22,54.14,59.13,20.08,23.33
eil51,4,18.87,896.6,93.72,242.88,73.94,36.6,40.8
eil51,5,32.19,-,707.15,365.4,564.97,248.81,68.72
eil76,3,9.74,1482.12,304.82,805.84,273.32,-,104.55
eil76,4,14.33,-,-,-,1866.5,225.06,267.71
eil76,5,131.55,-,-,-,-,-,357.69
