Instance Name,Number of Vehicles,minmax cost,minmaxCOF,minmax eps,minmax delta,epsFair cost,epsFair COF,deltaFair cost,deltaFair COF
att48,3,38865.0,0.159,0.99971,0.0122,38783.0,0.157,38751.0,0.156
att48,4,44766.0,0.335,0.99997,0.00384,44509.0,0.328,70945.0,1.116
bayg29,3,1928.0,0.198,0.99786,0.0306,1909.0,0.186,1912.0,0.188
bayg29,4,2254.0,0.4,0.99958,0.01331,2213.0,0.375,2223.0,0.381
bayg29,5,2699.0,0.676,0.99987,0.00797,2684.0,0.667,2695.0,0.674
bays29,3,10569.0,0.159,0.99993,0.00596,10555.0,0.158,10564.0,0.159
bays29,4,11305.0,0.24,0.99983,0.00858,11305.0,0.24,11305.0,0.24
burma14,3,37.0,0.194,0.99312,0.05405,37.0,0.194,37.0,0.194
burma14,4,48.0,0.548,1.0,0.0,48.0,0.548,48.0,0.548
burma14,5,54.0,0.742,0.97153,0.10185,49.0,0.581,50.0,0.613
eil51,3,472.0,0.098,0.99996,0.00424,470.0,0.093,470.0,0.093
eil51,4,494.0,0.149,0.99998,0.0027,492.0,0.144,494.0,0.149
eil76,3,574.0,0.065,0.99997,0.00348,574.0,0.065,574.0,0.065
fri26,3,1433.0,0.529,1.0,0.0007,1424.0,0.52,1432.0,0.528
fri26,4,1750.0,0.868,0.99996,0.00457,1735.0,0.852,1746.0,0.863
fri26,5,2129.0,1.272,0.99919,0.01973,2071.0,1.21,2065.0,1.204
gr17,3,3565.0,0.71,0.99407,0.0533,3451.0,0.655,3439.0,0.649
gr17,4,4716.0,1.262,0.99791,0.03364,4670.0,1.24,4584.0,1.199
gr17,5,5217.0,1.502,0.88655,0.19293,3995.0,0.916,4074.0,0.954
gr21,3,4304.0,0.59,0.99995,0.00465,4304.0,0.59,4304.0,0.59
gr21,4,5427.0,1.005,0.9993,0.01726,5315.0,0.963,5301.0,0.958
gr21,5,6367.0,1.352,0.99965,0.01241,6263.0,1.314,6282.0,1.321
gr24,3,1928.0,0.516,1.0,0.00052,1928.0,0.516,1928.0,0.516
gr24,4,2425.0,0.906,0.99996,0.00399,2424.0,0.906,2425.0,0.906
gr24,5,2867.0,1.254,0.99938,0.01622,2836.0,1.23,2847.0,1.238
gr48,3,6016.0,0.192,0.99998,0.00349,6016.0,0.192,6016.0,0.192
E-n22-k4,4,428.0,0.54,0.99895,0.01869,417.0,0.5,419.0,0.507
A-n33-k5,5,765.0,0.755,0.99901,0.0183,744.0,0.706,749.0,0.718
E-n30-k3,3,494.0,0.297,0.99999,0.00202,491.0,0.289,493.0,0.294
E-n23-k3,3,630.0,0.34,1.0,0.0,630.0,0.34,642.0,0.366
E-n13-k4,4,290.0,0.895,0.99919,0.01839,290.0,0.895,290.0,0.895
A-n34-k5,5,811.0,0.662,0.99991,0.00678,806.0,0.652,806.0,0.652
