formulation,solved,timeout (%),median (s),P25 (s),P75 (s),PAR-1 (s)
min,58,0.0,3.64,1.01,9.59,8.58
minmax,32,44.83,27.68,8.42,285.03,1810.94
pNorm 2,47,18.97,45.74,7.48,350.71,994.81
pNorm 3,43,25.86,54.31,7.33,252.52,1159.38
pNorm 5,42,27.59,50.42,6.89,356.51,1244.57
pNorm 10,40,31.03,35.44,8.2,369.58,1368.69
epsFair 0.1,58,0.0,13.28,4.3,39.47,35.79
epsFair 0.3,58,0.0,16.18,4.5,43.43,65.89
epsFair 0.5,54,6.9,23.38,6.82,71.47,351.27
epsFair 0.7,52,10.34,57.24,10.09,175.37,635.58
epsFair 0.9,46,20.69,64.16,8.49,197.41,970.59
deltaFair 0.1,42,27.59,44.56,8.32,224.66,1225.03
deltaFair 0.3,47,18.97,46.65,7.57,205.09,850.04
deltaFair 0.5,50,13.79,60.13,7.52,180.12,708.1
deltaFair 0.7,55,5.17,24.11,5.15,83.45,279.01
deltaFair 0.9,56,3.45,11.76,5.06,40.97,159.13
