Instance Name,Number of Vehicles,objective,parameter,l1,l2,l3,l4,Coeff Variation
burma14,4,min,-,31.0,0.0,0.0,0.0,1.732
burma14,4,min-max,-,12.0,12.0,12.0,12.0,0.0
burma14,4,p-norm,2,13.0,12.0,10.0,4.0,0.358
burma14,4,p-norm,3,13.0,11.0,10.0,7.0,0.211
burma14,4,p-norm,5,12.0,11.0,10.0,10.0,0.077
burma14,4,p-norm,10,12.0,11.0,10.0,10.0,0.077
burma14,4,eps-fair,0.1,19.0,13.0,0.0,0.0,1.035
burma14,4,eps-fair,0.3,19.0,13.0,0.0,0.0,1.035
burma14,4,eps-fair,0.5,17.0,13.0,4.0,0.0,0.8
burma14,4,eps-fair,0.7,13.0,13.0,10.0,0.0,0.593
burma14,4,eps-fair,0.9,13.0,11.0,10.0,7.0,0.211
burma14,4,eps-fair,1.0,12.0,12.0,12.0,12.0,0.0
burma14,4,delta-fair,0.0,12.0,12.0,12.0,12.0,0.0
burma14,4,delta-fair,0.1,12.0,12.0,10.0,9.0,0.121
burma14,4,delta-fair,0.3,13.0,12.0,10.0,4.0,0.358
burma14,4,delta-fair,0.5,13.0,13.0,10.0,0.0,0.593
burma14,4,delta-fair,0.7,17.0,16.0,0.0,0.0,1.001
burma14,4,delta-fair,0.9,19.0,13.0,0.0,0.0,1.035
bays29,4,min,-,9117.0,0.0,0.0,0.0,1.732
bays29,4,min-max,-,2859.0,2844.0,2838.0,2764.0,0.013
bays29,4,p-norm,2,2911.0,2894.0,2793.0,2440.0,0.069
bays29,4,p-norm,3,2894.0,2793.0,2768.0,2603.0,0.038
bays29,4,p-norm,5,2894.0,2793.0,2768.0,2603.0,0.038
bays29,4,p-norm,10,2894.0,2793.0,2768.0,2603.0,0.038
bays29,4,eps-fair,0.1,5306.0,4162.0,0.0,0.0,1.014
bays29,4,eps-fair,0.3,5306.0,4162.0,0.0,0.0,1.014
bays29,4,eps-fair,0.5,4813.0,4445.0,664.0,0.0,0.873
bays29,4,eps-fair,0.7,3882.0,3353.0,2894.0,0.0,0.594
bays29,4,eps-fair,0.9,3485.0,2911.0,2894.0,1625.0,0.249
bays29,4,eps-fair,0.9998,2859.0,2844.0,2838.0,2764.0,0.013
bays29,4,delta-fair,0.0086,2859.0,2844.0,2838.0,2764.0,0.013
bays29,4,delta-fair,0.1,2911.0,2894.0,2793.0,2440.0,0.069
bays29,4,delta-fair,0.3,3882.0,3125.0,2844.0,808.0,0.427
bays29,4,delta-fair,0.5,3882.0,3353.0,2894.0,0.0,0.594
bays29,4,delta-fair,0.7,5129.0,4410.0,0.0,0.0,1.006
bays29,4,delta-fair,0.9,5306.0,4162.0,0.0,0.0,1.014
eil51,4,min,-,430.0,0.0,0.0,0.0,1.732
eil51,4,min-max,-,124.0,124.0,123.0,123.0,0.004
eil51,4,p-norm,2,130.0,125.0,116.0,115.0,0.052
eil51,4,p-norm,3,130.0,125.0,116.0,115.0,0.052
eil51,4,p-norm,5,130.0,125.0,116.0,115.0,0.052
eil51,4,p-norm,10,126.0,125.0,121.0,116.0,0.032
eil51,4,eps-fair,0.1,232.0,208.0,0.0,0.0,1.003
eil51,4,eps-fair,0.3,221.0,219.0,0.0,0.0,1.0
eil51,4,eps-fair,0.5,212.0,179.0,64.0,0.0,0.753
eil51,4,eps-fair,0.7,175.0,172.0,113.0,0.0,0.616
eil51,4,eps-fair,0.9,166.0,130.0,125.0,59.0,0.322
eil51,4,eps-fair,0.9999,125.0,123.0,122.0,122.0,0.01
eil51,4,delta-fair,0.0027,124.0,124.0,123.0,123.0,0.004
eil51,4,delta-fair,0.1,130.0,130.0,125.0,100.0,0.103
eil51,4,delta-fair,0.3,172.0,166.0,80.0,59.0,0.422
eil51,4,delta-fair,0.5,217.0,129.0,113.0,0.0,0.673
eil51,4,delta-fair,0.7,234.0,206.0,0.0,0.0,1.004
eil51,4,delta-fair,0.9,364.0,75.0,0.0,0.0,1.366
